availability_id,resource_id,date,start_time,end_time,status
A0001,R001,2026-09-01,09:00,11:00,Available
A0002,R001,2026-09-01,11:00,13:00,Booked
A0003,R001,2026-09-01,14:00,16:00,Available
A0004,R001,2026-09-01,16:00,18:00,Available
A0005,R002,2026-09-01,09:00,11:00,Available
A0006,R002,2026-09-01,11:00,13:00,Booked
A0007,R002,2026-09-01,14:00,16:00,Available
A0008,R002,2026-09-01,16:00,18:00,Available
A0009,R003,2026-09-01,09:00,11:00,Available
A0010,R003,2026-09-01,11:00,13:00,Available
A0011,R003,2026-09-01,14:00,16:00,Available
A0012,R003,2026-09-01,16:00,18:00,Available
A0013,R004,2026-09-01,09:00,11:00,Available
A0014,R004,2026-09-01,11:00,13:00,Available
A0015,R004,2026-09-01,14:00,16:00,Booked
A0016,R004,2026-09-01,16:00,18:00,Available
A0017,R005,2026-09-01,09:00,11:00,Available
A0018,R005,2026-09-01,11:00,13:00,Available
A0019,R005,2026-09-01,14:00,16:00,Available
A0020,R005,2026-09-01,16:00,18:00,Available
A0021,R006,2026-09-01,09:00,11:00,Available
A0022,R006,2026-09-01,11:00,13:00,Available
A0023,R006,2026-09-01,14:00,16:00,Available
A0024,R006,2026-09-01,16:00,18:00,Available
A0025,R007,2026-09-01,09:00,11:00,Available
A0026,R007,2026-09-01,11:00,13:00,Available
A0027,R007,2026-09-01,14:00,16:00,Available
A0028,R007,2026-09-01,16:00,18:00,Booked
A0029,R008,2026-09-01,09:00,11:00,Booked
A0030,R008,2026-09-01,11:00,13:00,Booked
A0031,R008,2026-09-01,14:00,16:00,Available
A0032,R008,2026-09-01,16:00,18:00,Booked
A0033,R009,2026-09-01,09:00,11:00,Available
A0034,R009,2026-09-01,11:00,13:00,Available
A0035,R009,2026-09-01,14:00,16:00,Available
A0036,R009,2026-09-01,16:00,18:00,Available
A0037,R010,2026-09-01,09:00,11:00,Available
A0038,R010,2026-09-01,11:00,13:00,Available
A0039,R010,2026-09-01,14:00,16:00,Available
A0040,R010,2026-09-01,16:00,18:00,Available
A0041,R011,2026-09-01,09:00,11:00,Available
A0042,R011,2026-09-01,11:00,13:00,Available
A0043,R011,2026-09-01,14:00,16:00,Available
A0044,R011,2026-09-01,16:00,18:00,Available
A0045,R012,2026-09-01,09:00,11:00,Available
A0046,R012,2026-09-01,11:00,13:00,Booked
A0047,R012,2026-09-01,14:00,16:00,Booked
A0048,R012,2026-09-01,16:00,18:00,Booked
A0049,R013,2026-09-01,09:00,11:00,Available
A0050,R013,2026-09-01,11:00,13:00,Available
A0051,R013,2026-09-01,14:00,16:00,Available
A0052,R013,2026-09-01,16:00,18:00,Available
A0053,R014,2026-09-01,09:00,11:00,Booked
A0054,R014,2026-09-01,11:00,13:00,Available
A0055,R014,2026-09-01,14:00,16:00,Available
A0056,R014,2026-09-01,16:00,18:00,Available
A0057,R015,2026-09-01,09:00,11:00,Available
A0058,R015,2026-09-01,11:00,13:00,Available
A0059,R015,2026-09-01,14:00,16:00,Available
A0060,R015,2026-09-01,16:00,18:00,Available
A0061,R016,2026-09-01,09:00,11:00,Booked
A0062,R016,2026-09-01,11:00,13:00,Available
A0063,R016,2026-09-01,14:00,16:00,Booked
A0064,R016,2026-09-01,16:00,18:00,Available
A0065,R017,2026-09-01,09:00,11:00,Available
A0066,R017,2026-09-01,11:00,13:00,Available
A0067,R017,2026-09-01,14:00,16:00,Booked
A0068,R017,2026-09-01,16:00,18:00,Available
A0069,R018,2026-09-01,09:00,11:00,Available
A0070,R018,2026-09-01,11:00,13:00,Available
A0071,R018,2026-09-01,14:00,16:00,Available
A0072,R018,2026-09-01,16:00,18:00,Available
A0073,R019,2026-09-01,09:00,11:00,Booked
A0074,R019,2026-09-01,11:00,13:00,Available
A0075,R019,2026-09-01,14:00,16:00,Available
A0076,R019,2026-09-01,16:00,18:00,Available
A0077,R020,2026-09-01,09:00,11:00,Booked
A0078,R020,2026-09-01,11:00,13:00,Available
A0079,R020,2026-09-01,14:00,16:00,Available
A0080,R020,2026-09-01,16:00,18:00,Booked
A0081,R021,2026-09-01,09:00,11:00,Booked
A0082,R021,2026-09-01,11:00,13:00,Available
A0083,R021,2026-09-01,14:00,16:00,Available
A0084,R021,2026-09-01,16:00,18:00,Booked
A0085,R022,2026-09-01,09:00,11:00,Available
A0086,R022,2026-09-01,11:00,13:00,Available
A0087,R022,2026-09-01,14:00,16:00,Available
A0088,R022,2026-09-01,16:00,18:00,Available
A0089,R023,2026-09-01,09:00,11:00,Booked
A0090,R023,2026-09-01,11:00,13:00,Available
A0091,R023,2026-09-01,14:00,16:00,Booked
A0092,R023,2026-09-01,16:00,18:00,Available
A0093,R024,2026-09-01,09:00,11:00,Available
A0094,R024,2026-09-01,11:00,13:00,Available
A0095,R024,2026-09-01,14:00,16:00,Available
A0096,R024,2026-09-01,16:00,18:00,Booked
A0097,R025,2026-09-01,09:00,11:00,Booked
A0098,R025,2026-09-01,11:00,13:00,Available
A0099,R025,2026-09-01,14:00,16:00,Available
A0100,R025,2026-09-01,16:00,18:00,Booked
A0101,R001,2026-09-02,09:00,11:00,Available
A0102,R001,2026-09-02,11:00,13:00,Booked
A0103,R001,2026-09-02,14:00,16:00,Available
A0104,R001,2026-09-02,16:00,18:00,Booked
A0105,R002,2026-09-02,09:00,11:00,Available
A0106,R002,2026-09-02,11:00,13:00,Available
A0107,R002,2026-09-02,14:00,16:00,Available
A0108,R002,2026-09-02,16:00,18:00,Available
A0109,R003,2026-09-02,09:00,11:00,Booked
A0110,R003,2026-09-02,11:00,13:00,Booked
A0111,R003,2026-09-02,14:00,16:00,Available
A0112,R003,2026-09-02,16:00,18:00,Available
A0113,R004,2026-09-02,09:00,11:00,Available
A0114,R004,2026-09-02,11:00,13:00,Available
A0115,R004,2026-09-02,14:00,16:00,Available
A0116,R004,2026-09-02,16:00,18:00,Booked
A0117,R005,2026-09-02,09:00,11:00,Available
A0118,R005,2026-09-02,11:00,13:00,Available
A0119,R005,2026-09-02,14:00,16:00,Available
A0120,R005,2026-09-02,16:00,18:00,Available
A0121,R006,2026-09-02,09:00,11:00,Available
A0122,R006,2026-09-02,11:00,13:00,Booked
A0123,R006,2026-09-02,14:00,16:00,Available
A0124,R006,2026-09-02,16:00,18:00,Available
A0125,R007,2026-09-02,09:00,11:00,Available
